Pickup point,Request timestamp,
City,14:06:18,
City,22:50:55,
Airport,20:52:18,
Airport,11:29:00,
Airport,20:33:01,
Airport,06:02:47,
Airport,13:42:45,
City,07:16:19,
City,18:44:07,
Airport,23:22:28,
City,06:27:00,
City,22:16:00,
City,04:54:46,
City,23:24:52,
City,18:44:58,
Airport,04:43:40,
City,06:46:40,
City,05:12:00,
City,12:12:00,
Airport,08:45:00,
City,15:49:00,
City,18:13:10,
Airport,22:43:45,
City,05:36:10,
City,11:54:26,
City,08:43:57,
City,13:48:40,
Airport,05:11:00,
Airport,07:49:00,
City,16:23:00,
Airport,20:27:00,
City,20:33:00,
Airport,07:56:53,
City,19:18:27,
City,06:56:17,
Airport,07:07:07,
City,07:56:00,
City,16:12:00,
City,02:37:50,
Airport,06:21:57,
Airport,09:00:37,
City,13:30:22,
City,02:52:10,
Airport,07:41:01,
Airport,12:25:00,
Airport,22:05:00,
Airport,06:16:00,
Airport,06:14:46,
City,15:28:23,
Airport,19:09:50,
Airport,20:11:42,
City,02:09:09,
City,07:40:09,
Airport,12:50:41,
City,19:42:15,
Airport,19:11:00,
City,08:56:00,
Airport,02:36:56,
City,15:31:59,
City,06:35:07,
Airport,18:59:54,
Airport,00:05:00,
City,06:40:51,
Airport,17:17:50,
City,09:05:00,
City,22:22:00,
Airport,07:09:00,
Airport,16:03:00,
Airport,19:22:00,
City,08:10:39,
Airport,18:08:02,
City,20:55:06,
Airport,23:16:52,
Airport,02:37:56,
City,12:36:18,
City,18:22:21,
Airport,06:05:47,
City,09:56:00,
City,05:56:00,
City,19:31:00,
City,22:00:00,
Airport,06:56:35,
City,23:39:25,
Airport,07:26:46,
Airport,10:51:16,
Airport,21:08:55,
Airport,11:35:28,
Airport,16:08:41,
Airport,19:07:09,
City,20:40:00,
Airport,12:28:51,
Airport,22:07:15,
City,08:12:46,
Airport,18:35:40,
City,21:12:10,
City,07:32:38,
Airport,09:22:59,
Airport,20:51:59,
City,13:44:00,
Airport,16:41:00,
Airport,04:56:00,
Airport,10:38:00,
Airport,20:15:00,
Airport,06:52:35,
City,22:53:20,
Airport,05:24:02,
City,12:44:59,
City,18:57:20,
City,06:09:20,
Airport,10:00:43,
Airport,21:35:04,
City,04:16:00,
Airport,13:41:00,
City,07:01:00,
Airport,11:41:00,
Airport,17:32:00,
Airport,21:04:00,
City,06:01:37,
Airport,20:21:38,
City,14:37:56,
Airport,19:28:03,
City,07:26:00,
City,16:18:00,
City,05:12:03,
Airport,06:28:49,
City,18:34:17,
City,15:19:28,
Airport,22:32:05,
City,06:27:00,
Airport,08:48:00,
City,05:58:00,
Airport,07:41:00,
City,18:07:00,
Airport,10:27:35,
Airport,17:53:27,
Airport,15:36:30,
City,10:01:00,
City,08:10:00,
Airport,23:30:00,
City,06:40:10,
Airport,20:47:32,
City,01:03:12,
Airport,02:31:51,
Airport,05:51:41,
Airport,17:53:38,
City,18:57:26,
Airport,10:42:00,
City,09:38:10,
City,16:40:59,
City,11:13:24,
City,02:03:39,
City,06:56:12,
City,11:49:00,
City,23:22:00,
City,06:27:00,
Airport,12:19:00,
City,21:52:00,
City,13:04:08,
Airport,18:10:03,
Airport,12:55:00,
Airport,18:34:00,
Airport,04:45:00,
City,07:53:05,
City,16:26:57,
City,09:05:45,
Airport,15:57:43,
City,16:55:26,
Airport,18:02:53,
Airport,05:41:00,
City,09:46:00,
Airport,17:38:00,
City,19:58:00,
Airport,15:36:00,
City,00:08:01,
City,04:22:12,
City,11:00:10,
City,12:04:00,
Airport,22:18:00,
City,20:45:00,
Airport,19:28:50,
City,22:51:04,
City,12:10:38,
Airport,19:26:16,
City,10:29:33,
Airport,23:41:00,
Airport,17:44:00,
City,19:06:00,
City,02:00:13,
Airport,12:36:47,
City,08:44:24,
City,16:40:36,
City,19:09:05,
City,05:51:48,
Airport,13:54:34,
City,08:42:00,
Airport,11:57:00,
City,09:40:00,
City,23:40:41,
City,08:35:12,
Airport,20:56:32,
Airport,05:13:00,
Airport,10:44:00,
Airport,20:23:00,
City,05:13:32,
Airport,17:42:32,
City,19:01:56,
City,03:56:41,
City,10:18:26,
City,17:24:24,
Airport,22:15:00,
Airport,11:14:00,
Airport,08:32:00,
City,14:17:00,
Airport,09:07:00,
Airport,22:56:09,
City,07:49:20,
City,21:07:44,
Airport,00:47:57,
Airport,05:10:13,
City,15:41:00,
Airport,07:13:00,
Airport,10:43:00,
Airport,21:59:00,
Airport,16:59:22,
City,18:14:34,
Airport,20:56:47,
City,05:48:54,
Airport,10:42:35,
Airport,14:34:33,
Airport,23:48:42,
Airport,06:29:00,
City,16:40:00,
Airport,07:53:00,
Airport,22:21:56,
City,21:33:30,
Airport,09:55:05,
City,18:09:45,
Airport,12:16:00,
City,13:22:00,
Airport,16:46:00,
Airport,23:10:00,
Airport,08:14:00,
City,14:17:00,
Airport,08:21:01,
Airport,13:21:10,
Airport,18:28:34,
City,06:04:49,
City,23:47:37,
Airport,05:15:00,
City,13:35:00,
Airport,05:45:19,
Airport,14:17:32,
City,03:56:10,
City,07:38:59,
City,16:41:13,
City,04:53:00,
Airport,08:31:00,
City,10:56:00,
City,15:25:00,
Airport,18:38:00,
City,10:14:00,
Airport,14:40:00,
Airport,23:26:00,
City,06:28:33,
Airport,20:22:06,
Airport,08:53:30,
City,13:41:23,
Airport,18:05:13,
Airport,18:13:31,
City,09:45:00,
City,14:11:00,
City,18:37:00,
City,18:26:00,
City,05:59:51,
Airport,18:31:39,
Airport,06:10:32,
City,08:03:25,
City,19:16:39,
Airport,05:37:40,
City,07:52:17,
Airport,11:35:04,
Airport,15:54:52,
City,20:58:09,
City,09:20:00,
City,11:54:00,
Airport,17:11:00,
Airport,06:31:00,
City,11:06:00,
City,21:11:00,
Airport,07:55:48,
Airport,19:12:52,
Airport,05:38:00,
City,14:16:00,
City,21:16:00,
Airport,06:28:03,
City,15:40:51,
Airport,22:55:36,
Airport,01:36:28,
Airport,22:47:43,
Airport,04:47:00,
City,08:06:00,
Airport,17:07:00,
City,22:31:00,
Airport,09:11:00,
City,20:05:00,
Airport,02:18:57,
City,10:06:24,
City,15:48:23,
City,05:29:47,
City,06:25:50,
Airport,10:09:21,
City,22:47:07,
City,07:02:00,
City,16:06:00,
Airport,04:53:00,
Airport,03:58:16,
City,05:39:10,
Airport,07:36:39,
Airport,22:20:43,
City,09:00:12,
City,18:52:05,
Airport,20:11:45,
City,09:39:16,
Airport,19:29:36,
City,09:14:00,
City,17:32:00,
Airport,09:06:00,
City,13:36:00,
City,17:31:00,
City,22:08:00,
City,06:54:38,
Airport,10:47:18,
City,17:54:21,
Airport,05:33:21,
Airport,22:11:53,
Airport,04:54:00,
City,06:09:00,
Airport,17:49:00,
Airport,06:30:00,
City,16:33:00,
Airport,04:58:26,
City,07:57:03,
City,19:05:17,
City,05:06:45,
Airport,17:59:40,
City,19:20:13,
City,19:44:20,
City,08:11:00,
City,18:09:00,
Airport,20:15:00,
City,04:43:00,
City,12:50:00,
City,19:59:00,
City,12:25:28,
Airport,17:53:17,
Airport,07:04:32,
Airport,09:11:35,
City,20:44:17,
City,02:20:00,
Airport,12:24:00,
City,19:07:00,
City,22:28:00,
Airport,07:35:00,
City,10:45:00,
Airport,10:21:02,
City,18:02:46,
Airport,23:13:11,
City,06:46:29,
City,12:48:45,
City,17:17:14,
Airport,11:06:13,
City,12:39:00,
Airport,15:18:00,
Airport,21:33:00,
Airport,04:46:00,
Airport,14:39:00,
Airport,20:07:00,
City,22:33:08,
City,07:37:30,
Airport,19:33:31,
Airport,08:53:59,
City,23:19:28,
Airport,00:24:00,
City,04:34:00,
Airport,06:44:00,
Airport,14:07:00,
Airport,16:21:00,
City,22:04:00,
Airport,15:00:00,
Airport,19:51:00,
Airport,22:46:00,
City,17:08:17,
Airport,21:16:30,
Airport,00:03:40,
City,20:09:35,
City,06:44:00,
Airport,07:50:00,
Airport,21:38:00,
Airport,07:21:00,
City,11:58:00,
City,19:32:00,
Airport,07:17:33,
City,11:55:29,
City,14:34:59,
Airport,05:27:03,
City,07:42:06,
City,14:37:20,
Airport,23:45:24,
City,06:58:00,
Airport,10:01:00,
City,10:58:00,
Airport,18:28:00,
Airport,05:41:00,
City,07:26:00,
Airport,20:01:00,
Airport,14:03:18,
Airport,05:40:49,
City,20:26:16,
City,09:47:00,
City,22:13:00,
City,14:51:48,
City,17:43:14,
City,18:52:48,
City,23:42:02,
City,08:16:35,
City,08:42:00,
Airport,11:03:00,
City,07:31:14,
Airport,20:03:07,
City,03:15:23,
City,20:42:24,
City,01:12:58,
Airport,05:18:23,
Airport,19:24:23,
Airport,11:43:00,
City,11:45:00,
Airport,06:16:45,
Airport,16:07:30,
City,16:57:25,
City,20:58:30,
Airport,22:39:30,
Airport,06:54:47,
City,13:36:45,
Airport,08:31:42,
Airport,17:26:43,
Airport,23:25:29,
City,03:34:00,
City,09:07:00,
City,21:51:00,
Airport,01:01:00,
City,07:15:00,
Airport,17:25:00,
City,08:45:44,
City,13:45:51,
Airport,11:21:39,
City,10:09:09,
Airport,15:43:08,
Airport,18:35:07,
City,21:44:29,
Airport,06:35:00,
Airport,19:00:00,
City,07:38:00,
City,10:59:15,
Airport,17:33:47,
Airport,01:06:24,
Airport,11:04:56,
City,15:15:03,
City,20:40:24,
Airport,15:47:00,
Airport,05:31:00,
City,09:40:00,
Airport,05:20:59,
City,07:52:04,
City,13:09:42,
Airport,20:29:51,
City,10:48:38,
City,15:17:12,
City,20:01:09,
Airport,06:38:00,
Airport,14:16:00,
Airport,18:10:00,
City,08:33:00,
City,22:09:00,
City,23:21:15,
Airport,21:42:42,
City,20:12:18,
Airport,06:16:00,
Airport,17:56:00,
City,05:59:51,
Airport,19:08:59,
Airport,23:36:34,
City,07:19:07,
City,15:26:32,
Airport,12:07:54,
Airport,21:04:00,
City,22:22:00,
City,04:41:00,
City,16:07:00,
City,02:43:10,
City,18:56:23,
Airport,13:43:28,
City,15:03:23,
City,17:57:00,
Airport,16:53:00,
Airport,20:31:00,
City,22:05:00,
City,09:12:04,
Airport,10:59:12,
City,12:09:28,
City,05:58:43,
City,17:47:05,
Airport,18:18:00,
City,09:43:00,
Airport,08:34:53,
Airport,14:46:13,
City,13:50:32,
Airport,13:49:00,
Airport,23:44:00,
City,09:09:00,
City,20:16:00,
City,09:48:28,
City,12:45:18,
Airport,18:38:49,
Airport,03:30:00,
Airport,18:14:56,
City,06:10:44,
City,17:49:44,
City,05:24:22,
Airport,06:32:35,
City,22:10:21,
Airport,05:35:00,
City,07:53:00,
Airport,18:54:00,
City,23:35:00,
City,05:50:00,
Airport,17:15:00,
City,19:31:00,
Airport,07:28:45,
Airport,22:14:24,
City,06:18:59,
City,12:35:29,
Airport,17:23:01,
Airport,10:37:00,
Airport,06:58:00,
City,17:37:40,
City,20:37:56,
City,11:50:27,
Airport,15:06:01,
Airport,23:07:32,
City,10:42:09,
City,21:19:03,
Airport,06:21:00,
Airport,12:17:00,
Airport,19:31:00,
City,07:15:27,
Airport,09:33:26,
City,17:38:17,
Airport,22:47:55,
City,07:27:05,
City,16:52:26,
Airport,10:45:56,
Airport,15:17:13,
City,18:00:40,
Airport,05:08:00,
City,07:53:00,
City,17:57:00,
Airport,23:11:00,
Airport,09:52:49,
City,18:14:26,
City,23:42:23,
Airport,21:49:41,
City,03:22:00,
Airport,05:01:00,
City,06:08:00,
City,09:40:00,
Airport,06:10:00,
City,17:59:00,
City,00:13:43,
City,07:36:53,
Airport,08:54:03,
City,12:28:00,
Airport,04:53:00,
City,19:15:00,
Airport,21:35:00,
Airport,12:29:20,
City,22:08:13,
City,09:16:24,
City,21:42:04,
Airport,08:09:00,
Airport,23:23:00,
City,09:33:00,
City,18:33:00,
Airport,09:52:22,
City,22:09:50,
City,05:17:46,
City,09:04:30,
Airport,19:49:10,
Airport,22:58:01,
Airport,15:02:00,
Airport,20:03:45,
City,09:01:49,
Airport,20:29:19,
City,20:49:25,
City,09:48:00,
City,09:45:00,
Airport,05:31:53,
Airport,23:50:28,
Airport,10:04:16,
Airport,05:36:00,
City,20:18:00,
Airport,08:44:00,
Airport,19:55:00,
Airport,01:22:32,
City,07:07:32,
City,23:31:47,
City,13:52:36,
Airport,20:21:02,
City,05:46:37,
Airport,07:50:35,
City,10:16:24,
City,18:25:54,
Airport,22:45:03,
Airport,09:40:00,
Airport,20:37:00,
City,05:16:00,
City,10:39:32,
City,02:10:33,
Airport,05:18:01,
City,16:16:30,
Airport,18:02:51,
City,02:36:00,
Airport,05:36:00,
Airport,17:30:00,
Airport,19:59:00,
City,20:53:00,
City,08:58:47,
City,11:37:32,
Airport,18:40:02,
City,04:51:03,
City,07:29:29,
City,11:44:26,
City,15:19:35,
City,17:39:27,
City,17:25:23,
City,06:31:00,
Airport,23:25:00,
City,04:54:00,
City,07:17:09,
City,00:06:56,
City,17:30:09,
City,02:47:00,
Airport,06:58:00,
City,18:39:00,
Airport,21:13:00,
City,08:57:00,
Airport,11:38:00,
City,10:28:01,
Airport,17:32:20,
Airport,22:00:50,
City,10:13:30,
Airport,11:02:21,
City,19:29:16,
City,23:21:57,
Airport,16:53:17,
Airport,09:24:00,
City,18:17:00,
Airport,01:30:00,
City,11:16:00,
Airport,10:03:58,
City,16:52:29,
City,09:04:43,
Airport,22:10:37,
City,05:53:20,
Airport,15:06:46,
Airport,19:54:08,
Airport,14:17:00,
Airport,20:32:00,
Airport,06:48:57,
City,15:55:17,
Airport,00:56:22,
City,00:58:19,
City,07:50:12,
Airport,05:48:00,
City,07:54:00,
City,18:47:00,
City,18:59:56,
City,23:18:14,
City,08:21:49,
Airport,20:03:46,
Airport,05:32:12,
Airport,08:52:58,
Airport,13:48:53,
Airport,22:47:31,
City,05:45:00,
Airport,23:06:00,
City,05:16:00,
Airport,06:27:11,
City,22:58:36,
City,11:47:32,
Airport,19:41:45,
Airport,21:11:01,
Airport,23:57:32,
City,05:22:00,
City,09:40:00,
Airport,16:44:00,
City,20:04:00,
Airport,06:00:19,
City,11:06:44,
Airport,21:38:18,
City,06:49:43,
City,22:11:41,
City,09:56:43,
City,13:27:33,
Airport,12:58:00,
City,15:52:00,
City,11:33:00,
Airport,07:08:16,
Airport,10:27:47,
Airport,07:25:12,
Airport,13:48:48,
City,19:07:33,
City,10:08:04,
Airport,05:01:00,
City,06:15:00,
Airport,09:29:00,
Airport,13:39:00,
Airport,09:57:52,
Airport,14:19:59,
City,21:55:01,
City,17:26:14,
City,10:23:18,
Airport,17:58:28,
City,22:42:16,
Airport,01:56:01,
City,13:01:57,
Airport,16:23:13,
City,06:45:00,
Airport,19:55:00,
City,22:54:00,
City,08:42:00,
City,15:44:00,
Airport,07:38:41,
City,11:32:01,
Airport,12:58:15,
Airport,20:59:37,
City,06:03:18,
Airport,19:52:09,
City,09:48:14,
Airport,18:16:59,
City,20:29:43,
City,01:08:00,
City,10:36:00,
City,08:03:34,
City,16:27:50,
City,19:13:47,
City,03:06:29,
City,07:13:49,
City,15:18:12,
City,10:12:18,
City,21:01:00,
Airport,02:48:00,
City,06:40:00,
City,01:12:24,
City,07:13:58,
Airport,17:34:19,
City,22:20:23,
Airport,05:13:00,
City,11:36:00,
Airport,15:00:00,
Airport,17:38:00,
City,15:06:00,
Airport,01:04:42,
City,15:59:29,
City,19:07:39,
City,18:36:12,
City,04:45:24,
City,14:29:35,
Airport,23:12:34,
Airport,19:20:00,
City,04:52:00,
City,21:05:00,
Airport,07:43:26,
Airport,13:13:14,
Airport,17:23:33,
Airport,10:06:21,
Airport,09:55:00,
City,00:07:00,
Airport,20:55:00,
City,06:47:53,
Airport,18:55:13,
City,23:43:29,
City,03:22:00,
City,06:54:00,
City,19:14:00,
City,19:35:00,
Airport,18:29:45,
Airport,11:45:40,
City,21:00:35,
Airport,05:39:41,
Airport,12:19:00,
City,16:29:00,
Airport,19:08:00,
City,12:51:00,
City,18:23:00,
Airport,21:15:00,
Airport,07:33:22,
Airport,15:42:30,
City,23:18:16,
City,08:38:20,
Airport,18:46:09,
City,09:16:06,
Airport,19:40:26,
City,20:52:48,
Airport,04:53:00,
City,09:53:00,
City,20:17:00,
Airport,08:46:00,
City,17:21:00,
Airport,10:11:48,
Airport,14:25:14,
City,19:11:20,
Airport,22:37:48,
City,09:23:37,
Airport,13:50:06,
City,20:37:58,
City,18:46:41,
Airport,21:00:35,
City,09:40:00,
Airport,12:27:00,
City,21:24:00,
Airport,09:48:00,
Airport,19:59:00,
Airport,11:42:51,
City,19:13:25,
City,12:46:16,
City,22:35:23,
City,18:09:00,
Airport,19:14:00,
Airport,07:05:00,
City,20:06:00,
Airport,06:46:54,
Airport,10:38:37,
City,05:38:07,
City,08:32:04,
Airport,14:13:45,
City,19:09:39,
Airport,08:41:47,
Airport,22:25:17,
City,07:57:00,
Airport,19:14:00,
Airport,06:28:00,
Airport,11:43:00,
Airport,16:11:34,
Airport,20:45:13,
City,05:44:27,
Airport,07:06:23,
City,21:33:21,
City,05:12:00,
Airport,09:27:00,
City,12:55:00,
Airport,18:54:00,
Airport,22:42:00,
City,07:37:00,
Airport,11:26:00,
City,14:24:58,
Airport,06:33:45,
Airport,23:37:11,
City,07:01:00,
City,10:34:00,
Airport,00:44:02,
City,08:21:08,
City,16:31:49,
City,19:52:18,
City,08:29:00,
City,11:16:00,
Airport,15:14:00,
Airport,19:31:00,
Airport,07:33:00,
City,00:07:58,
City,05:49:57,
Airport,20:35:07,
City,10:36:47,
Airport,12:46:48,
City,14:01:00,
City,05:56:00,
Airport,15:04:00,
City,18:30:00,
City,08:24:55,
City,13:26:42,
Airport,07:47:52,
City,05:25:00,
City,08:49:00,
Airport,11:47:00,
Airport,18:22:00,
City,19:14:00,
Airport,09:41:00,
Airport,18:19:00,
Airport,22:18:00,
Airport,23:54:19,
City,19:20:34,
Airport,00:03:52,
City,07:17:21,
Airport,18:01:55,
Airport,21:05:27,
City,10:19:00,
Airport,11:38:00,
Airport,08:54:00,
Airport,13:27:44,
City,08:02:46,
Airport,00:00:00,
Airport,12:05:00,
Airport,07:17:00,
Airport,18:22:00,
Airport,17:13:14,
City,08:04:44,
Airport,09:12:00,
City,13:32:00,
Airport,19:59:00,
Airport,10:23:00,
Airport,08:43:36,
City,22:23:42,
Airport,18:27:08,
Airport,05:28:13,
City,18:25:32,
Airport,21:24:21,
City,23:57:25,
City,05:01:00,
Airport,22:00:00,
Airport,16:41:00,
Airport,06:09:40,
Airport,16:07:50,
City,10:04:07,
Airport,17:12:21,
Airport,22:57:10,
Airport,06:31:00,
City,23:51:00,
Airport,09:50:00,
Airport,13:55:00,
Airport,04:17:53,
City,07:59:39,
Airport,12:02:32,
Airport,02:44:19,
City,17:33:22,
Airport,05:43:35,
Airport,19:21:28,
Airport,13:01:00,
City,17:23:24,
Airport,23:20:17,
City,09:29:03,
City,05:15:31,
City,09:22:44,
City,03:57:00,
City,06:56:00,
Airport,06:55:00,
Airport,19:13:00,
Airport,05:14:11,
Airport,15:28:43,
Airport,04:51:04,
City,11:29:06,
Airport,14:04:28,
Airport,22:08:44,
City,21:52:30,
Airport,09:09:00,
Airport,21:59:00,
Airport,12:18:00,
Airport,16:01:00,
City,02:33:50,
City,00:03:46,
City,05:07:48,
City,15:31:28,
Airport,20:02:19,
City,21:49:16,
City,12:30:00,
Airport,07:16:00,
Airport,14:25:00,
City,04:55:18,
Airport,09:13:30,
Airport,21:00:38,
City,06:34:00,
Airport,07:12:00,
City,13:26:00,
City,23:54:00,
Airport,10:43:00,
City,19:45:00,
Airport,18:52:47,
City,16:56:18,
City,21:13:16,
Airport,19:19:21,
Airport,19:01:00,
Airport,22:12:00,
Airport,14:43:00,
City,20:03:00,
Airport,09:11:48,
City,09:51:05,
City,03:11:51,
Airport,18:00:53,
Airport,06:27:02,
City,07:28:00,
City,10:15:00,
Airport,14:16:00,
City,19:50:00,
Airport,09:40:19,
City,05:00:18,
Airport,19:15:16,
City,21:18:53,
Airport,09:35:00,
City,15:56:00,
